"name_with_owner","author","message","is_core"
"postmanlabs/postman-docs","mark-anthony-postman","Add review feedback",1
"archesproject/arches","johnatawnclementawn","nit #9341",0
"postmanlabs/postman-docs","MatthewPinsker-postman","Minor fixes, updated last updated date",0
"PhantomBot/PhantomBot","gmt2001","Start implementaion of TableBuilder",1
"archesproject/arches","jacobtylerwalls","Reduce GET queries from 18 to 12",0
"archesproject/arches","njkim","Update descriptor during bulk index, #9219",1
"PhantomBot/PhantomBot","gmt2001","Merge branch 'master' into maj-1",1
"PhantomBot/PhantomBot","gmt2001","Cleanup some warnings",1
"lvgl/lvgl","szepeviktor","chore: fix execute permissions and shebangs (#4695)",0
"postmanlabs/postman-docs","DanielKimmelmann1","updating with latest.",0
"weaviate/weaviate","dirkkul","Fix gql default value",0
"weaviate/weaviate","etiennedi","Merge pull request #3052 from weaviate/pq-recall-drop-after-restart

Fix PQ recall drop after restart",1
"weaviate/weaviate","etiennedi","Merge pull request #3455 from weaviate/batch-panic-handler

Gracefully handle potential panics in batch add",1
"postmanlabs/postman-docs","petewitcher-postman","Added info about documentation, updated a term",0
"weaviate/weaviate","etiennedi","prevent more unbounded concurrency in ref filters

prevent more unbounded concurrency, limit connections

remove MaxConnsPerHost

adapt style

adapt style",1
"weaviate/weaviate","abdelr","fix swagger",0
"PhantomBot/PhantomBot","gmt2001","Change streamInfo to always swithc TwitchCache to EventSub mode on success subscribe
Add overload to goOnline to ignore offlineTimeout
Change EventSub and syncOnline to ignore offlineTimeout",1
"PhantomBot/PhantomBot","gmt2001","Fix game value update",1
"PhantomBot/PhantomBot","gmt2001","Updated GitHub Pages",1
"archesproject/arches","njkim","Remove debugging print statement, #9925",1
"postmanlabs/postman-docs","jkonrath-postman","Merge branch 'develop' into tw-1401-save-run-order",1
"postmanlabs/postman-docs","MatthewPinsker-postman","Updates roles, and public profile behavior",0
"archesproject/arches","chrabyrd","nit #9304",1
"weaviate/weaviate","aliszka","sets intervals for shard callbacks",0
"lvgl/lvgl","lhdjply","feat(os): add rt-thread for osal (#4746)",0
"lvgl/lvgl","kisvegabor","example(ffmpeg): enable the MicroPython example",1
"postmanlabs/postman-docs","MatthewPinsker-postman","Update screenshots to include Postbot",0
"postmanlabs/postman-docs","mark-anthony-postman","Update screenshots",1
"weaviate/weaviate","tsmith023","fix protolint",0
"weaviate/weaviate","dirkkul","Fix tests",0
"archesproject/arches","njkim","nit, #9951",1
"PhantomBot/PhantomBot","gmt2001","Fix active chatters bonus",1
"weaviate/weaviate","antas-marcin","Linter and swagger errors",1
"PhantomBot/PhantomBot","Sartharon","Make CodeQL happy about it's on HTML-Injection",0
"archesproject/arches","chiatt","Merge pull request #9991 from archesproject/9990_empty_worksheet

Allow importing empty worksheets #9990",1
"postmanlabs/postman-docs","petewitcher-postman","Merge branch 'develop' into tw-1142-revamp-reports",0
"postmanlabs/postman-docs","petewitcher-postman","Added line about variables being locally scoped",0
"nextcloud/polls","dartcafe","prepare v5.4.2

Signed-off-by: dartcafe <github@dartcafe.de>",1
"netbox-community/netbox","jeremystretch","Release v3.6.3",1
"postmanlabs/postman-docs","MatthewPinsker-postman","Merge branch 'develop' into tw-879-related-collections-and-flows",0
"postmanlabs/postman-docs","MatthewPinsker-postman","Remove screenshot",0
"archesproject/arches","aarongundel","fix conflicting migrations",1
"postmanlabs/postman-docs","claireriley","add API Collaboration",1
"PhantomBot/PhantomBot","gmt2001","Remove auto-port switching",1
"weaviate/weaviate","abdelr","Some extra memory pooling",0
"archesproject/arches","chrabyrd","nit #9304",1
"postmanlabs/postman-docs","MatthewPinsker-postman","Update screenshots, add note about overview tab",0
"postmanlabs/postman-docs","mark-anthony-postman","Add Postman Academy links to frontmatter",1
"archesproject/arches","stickler-ci","Fixing style errors.",1
"weaviate/weaviate","antas-marcin","Merge remote-tracking branch 'origin/stable/v1.19'",1
"archesproject/arches","jkemper-pca","Redo fix for main script url

This change seems necessary.",0
"postmanlabs/postman-docs","MatthewPinsker-postman","Merge branch 'develop' into tw-651-splunk-refresh",0
"weaviate/weaviate","dirkkul","Build clean release",0
"PhantomBot/PhantomBot","gmt2001","JavaDoc Reflect",1
"weaviate/weaviate","donomii",".",0
"xamarin/xamarin-macios","rolfbjarne","[net8.0] Revert ""[tests] Ignore tests that publish universal apps."" (#18944)

This reverts commit 7691231a86104f711cfa7077fd1fb6fab479d069.

Fixes https://github.com/xamarin/xamarin-macios/issues/18733.",1
"postmanlabs/postman-docs","MatthewPinsker-postman","Update screenshot of extension",0
"archesproject/arches","njkim","Update function call,#9465",1
"postmanlabs/postman-docs","MatthewPinsker-postman","Update about search in the network",0
"netbox-community/netbox","jeremystretch","Update changelog",1
"netbox-community/netbox","arthanson","12767 pin graphene-django version",0
"postmanlabs/postman-docs","mark-anthony-postman","Merge pull request #5014 from postmanlabs/tw-1313-academy-links

TW-1313 - Add academy links to LC (first round)",1
"postmanlabs/postman-docs","MatthewPinsker-postman","Removed pricing notes, minor reorganization",0
"postmanlabs/postman-docs","mark-anthony-postman","Fix links and add redirect",1
"PhantomBot/PhantomBot","gmt2001","Change isMonNoTags to explicitly check isCaster",1
"xamarin/xamarin-macios","rolfbjarne","[src] Add back manual NewsstandKitLibrary constant for backwards compatibility. (#18841)",1
"postmanlabs/postman-docs","tristandenyer","[c] update caniuse-lite db to latest",1
"postmanlabs/postman-docs","MatthewPinsker-postman","Merge branch 'develop' into tw-1156-refresh-test-script-examples",0
"postmanlabs/postman-docs","claireriley","add fix",1
"xamarin/xamarin-macios","mandel-macaque","Update tests/xharness/Harness.cs",1
"netbox-community/netbox","jeremystretch","Fixes #12412: Device/VM interface MAC addresses can be nullified via REST API",1
"netbox-community/netbox","jeremystretch","Fixes #13513: Prevent exception when rendering bookmarks widget for anonymous user",1
"pingcap/docs","hfxsd","sql: fix a typo (#14879)",1
"postmanlabs/postman-docs","mark-anthony-postman","Add overview",1
"PhantomBot/PhantomBot","gmt2001","Merge branch 'master' into multiUserPanel",1
"postmanlabs/postman-docs","akinard-postman","Update updated frontmatter",0
"postmanlabs/postman-docs","akinard-postman","Merge pull request #4746 from postmanlabs/TW-1069-Maintenance-Review-4-23

[TW-1069] Maintenance review cycle 4/23 11-15",0
"archesproject/arches","apeters","Merge pull request #9372 from archesproject/provenance_tile_save

Check parent.expanded before setting value",1
"lvgl/lvgl","bjsylvia","chore(multi-instance): update description of related documents (#4470)

Signed-off-by: XiaoweiYan <yanxiaowei@xiaomi.com>
Co-authored-by: XiaoweiYan <yanxiaowei@xiaomi.com>",0
"netbox-community/netbox","jeremystretch","Fixes #13351: Fix missing text due to incorrectly applied translation tags",1
"netbox-community/netbox","jeremystretch","Merge branch 'develop' into feature",1
"netbox-community/netbox","jeremystretch","PRVB",1
"netbox-community/netbox","jeremystretch","#12589: Remove obsolete admin resources",1
"netbox-community/netbox","jeremystretch","Release v3.5.9",1
"netbox-community/netbox","jeremystretch","Fixes #13369: Fix job termination status for failed reports",1
"postmanlabs/postman-docs","brandonmcastillo","Fix spacing for Company column",1
"postmanlabs/postman-docs","MatthewPinsker-postman","Super Admins can manage custom gov functions",0
"xamarin/xamarin-macios","rolfbjarne","[tests] Try to fix a few random test failures in UserDefaultsTests. (#19354)

Try to fix a few random test failures in UserDefaultsTests by making sure they
won't fail if another process is running the test at the same time by adding
the PID to any machine-wide identifiers.

Might fix:

* https://github.com/xamarin/maccore/issues/2488
* https://github.com/xamarin/maccore/issues/2725",1
"xamarin/xamarin-macios","rolfbjarne","[tools] Remove some dead code in the class redirector rewriter. (#18695)

This also fixes a compiler warnings:

> tools/common/Rewriter.cs(333,25): warning CS8604: Possible null
reference argument for parameter 'path1' in 'string Path.Combine(string
path1, string path2)'.

And make nullability warnings in dotnet-linker show up as errors to
prevent future introduction of nullability warnings.",1
