"name_with_owner","sha","author","date","verified","message","num_issues","commit_month","has_ci","is_core"
"navikt/aksel","a6d30bf04d0a756fdef3721126cec3aea10e2a71","KenAJoh","2020-06-08 05:50:44","true","Merge pull request #738 from navikt/fix/aria-textarea

coerceing av maxLength til boolean slik at den ikke havner i dom-en",30,36,0,1
"navikt/aksel","13afd5da41141e036d9c395bc1b47008edb72f0d","KenAJoh","2023-03-10 14:11:48","true","Merge branch 'main' into next",11,69,1,1
"navikt/aksel","3571be8366299675868b87e119d1c2249fbbaad8","KenAJoh","2021-02-22 08:29:57","false","Lerna versionbump [ci skip]

 - @navikt/ds-css@0.1.2
 - nav-frontend-tabell-style@1.0.6",19,45,0,1
"navikt/aksel","127de96ce5a5a38a56d9ea797739df357735155f","KenAJoh","2020-06-18 09:01:54","false","Update .eslintignore",28,37,0,1
"navikt/aksel","4dcd12d10d4b4ebe94717b74ed794268afbb9968","Lillebo","2020-01-18 14:46:55","false","lint",33,32,0,1
"navikt/aksel","cc3f6be7791134119022117ef18db38874b95063","JohRus","2018-03-11 13:27:04","false","Gjør proppen ariaTittel obligatorisk",12,9,0,0
"navikt/aksel","580cbf0665e3ecff93e5a5ea850ceb88fef73d29","erlendev","2017-10-03 14:35:19","false","publish [ci skip]",11,4,0,0
"navikt/aksel","a402777c70a18899ef4239b10a6335a671e26167","KenAJoh","2023-08-17 12:02:56","true","🐛 Alignet alert-ikon med tekst (#2179)",14,75,1,1
"navikt/aksel","c0f1b8401ef520b13cd7426955bbba753f6c9e30","KenAJoh","2021-10-15 09:36:06","true","oppdatert workflow",5,53,0,1
"navikt/aksel","2e7535037c05ab74e60da6c05addbdd04fa66933","KenAJoh","2022-08-24 06:51:35","true","Update README.md",2,63,0,1
"navikt/aksel","879dabfa2a8b94352683d5613aef9488c3e8856d","Lillebo","2019-05-02 11:34:55","false","Fikset korrekt retur-verdi på pressed-sjekk",16,23,0,1
"navikt/aksel","ba06bba22c7b344ff816a7464d607ec5b0d21026","erlendev","2017-10-24 08:59:56","false","lint fix",16,5,0,0
"navikt/aksel","709152d509ad4b749bac461e0bdf614bc692c07c","Lillebo","2020-03-04 13:17:35","false","lint",32,33,0,1
"navikt/aksel","6c07afe963a8452a9ecffb86161ca54e4f6bf373","KenAJoh","2023-02-03 09:39:10","true",":art: Oppdatert hotkey for søk",5,68,1,1
"navikt/aksel","e3472b945a4b4a3b15bce55bda00c8b42a078995","theasteen","2017-08-09 10:36:28","false","Update Radio.ingress.md",7,2,0,0
"navikt/aksel","31dbe21ed40b17f653792db0c1fb1da013b9895a","Lillebo","2019-09-13 17:34:17","false","Fikset bedre informasjon om at man kan velge å bare installere Less-pakker",21,28,0,1
"navikt/aksel","c11c0f763b73eb905220c01d03c81064f7692d66","andnorda","2020-10-12 12:57:35","false","breadcrumb",20,41,0,1
