"name_with_owner","sha","author","date","verified","message","num_issues","commit_month","has_ci","is_core"
"WWBN/AVideo","e7982c770a09897485fd4d09602fa31cbaa388f9","DanielnetoDotCom","2020-10-16 16:56:25","false","",138,42,0,1
"WWBN/AVideo","907554dfed7143ce3c89637a81267e993ba6d4b6","DanielnetoDotCom","2021-11-11 18:18:16","false","Allow download all files",73,55,0,1
"WWBN/AVideo","11e377cd1295f788ee59034ec230b4bc168364e3","DanielnetoDotCom","2020-07-14 15:40:14","false","More compatible for IPTV",109,39,0,1
"WWBN/AVideo","157be01dec5acb69c1902370bcc6bca15439c0bc","alexious","2019-12-11 14:53:10","true","Update README.md",414,32,0,0
"WWBN/AVideo","f2c7d6072d66942cbe0c6606dc03dce04ec0e592","DanielnetoDotCom","2021-07-23 11:47:29","false","https://github.com/WWBN/AVideo/issues/5464",90,52,0,1
"WWBN/AVideo","d46165b7c4d7c1a8e44c771c89de8e939f3d70bb","DanielnetoDotCom","2021-10-14 15:15:15","false","Fix filename",79,54,0,1
"WWBN/AVideo","b3955403693a9ce08a6e115c0cfa03d76fb35e93","DanielnetoDotCom","2020-12-11 17:44:28","false","",159,44,0,1
"WWBN/AVideo","76e7e205d10ad7a261d1d91d98358d4244a3d9c7","DanielnetoDotCom","2021-02-26 17:35:29","false","Improve performance",134,47,0,1
"WWBN/AVideo","d41449e8d53143b0b69f05e7929cd0a9b3124bf8","DanielnetoDotCom","2020-09-28 16:17:31","false","",127,42,0,1
"WWBN/AVideo","707f68fd8bc08f74c57a984ecff66dda0fe0b915","DanielnetoDotCom","2021-11-04 02:04:07","false","Fix",67,55,0,1
"WWBN/AVideo","8f93fbcd83420cfa72537e787b372412db69002c","DanielnetoDotCom","2020-10-30 18:42:24","false","",155,43,0,1
"WWBN/AVideo","65b9f4f9c5599f8a37ad8ed77bcf2c4da7d4849e","DanielnetoDotCom","2020-09-03 15:45:59","false","",98,41,0,1
"WWBN/AVideo","409be9060eaa96c2e13b35bcd503dbb017ddb372","DanielnetoDotCom","2020-08-16 16:01:36","false","",91,40,0,1
"WWBN/AVideo","0f7ff16de02570cbd17f7a630654f8e27ff025c5","DanielnetoDotCom","2021-07-05 18:38:01","false","https://github.com/WWBN/AVideo/issues/5396",90,51,0,1
"WWBN/AVideo","7fe862660a69258da4a15bff3aa5170b96375fdc","DanielnetoDotCom","2020-10-19 14:45:44","false","",146,42,0,1
"WWBN/AVideo","321b9985ff60f66e174b93005495acf57c070aeb","DanielnetoDotCom","2021-01-21 21:17:19","false","Debug",148,46,0,1
"WWBN/AVideo","194587eb93aa4b002c11002eb374931de98f21db","DanielnetoDotCom","2022-02-03 20:36:07","false","pass if it is a live key",72,58,0,1
"WWBN/AVideo","a4a0f777fcfda15f3c7384933947a832f48e2a5e","DanielnetoDotCom","2021-01-23 16:29:36","false","Improve socket",152,46,0,1
"WWBN/AVideo","757504314ecf9c25489b29dae72c1bc4b13a3fa2","DanielnetoDotCom","2021-05-06 14:03:42","false","https://github.com/WWBN/AVideo/issues/5075",102,49,0,1
"WWBN/AVideo","9dbd401148da9f6a31660e6a335029cdd0b79bb7","DanielnetoDotCom","2020-09-11 03:44:28","false","Improve meet",107,41,0,1
"WWBN/AVideo","9319517d4261aa34fb25d70ec662fadd58bd4fe8","DanielnetoDotCom","2022-02-03 21:45:56","false","Force int",72,58,0,1
"WWBN/AVideo","025117c74a9f71156b2c116dc317f03722acb30b","DanielnetoDotCom","2021-11-13 14:26:01","false","Fix",90,55,0,1
"WWBN/AVideo","47ea7463ae24009023a9a790f30a0367d2e73ca7","DanielnetoDotCom","2021-11-11 19:40:16","false","Option to hide menu items",73,55,0,1
"WWBN/AVideo","f106739284f384dc558986edfe8d63aadda7a4b5","DanielnetoDotCom","2021-11-10 19:01:05","false","Improve CDN Storage",73,55,0,1
"WWBN/AVideo","5c0fe6ce0609551dc16a0e99938a3834761b1502","DanielnetoDotCom","2021-12-16 15:47:42","false","https://github.com/WWBN/AVideo/issues/6088#issuecomment-995924330",72,56,0,1
"WWBN/AVideo","8477ad380a7fe474dc07d7bd32a578ac8d30c4b1","DanielnetoDotCom","2020-10-19 14:12:40","false","",146,42,0,1
"WWBN/AVideo","2c1ed23918991d954fc84db4f4fc3b9606d687ad","Maikuolan","2020-12-30 04:51:51","true","Fix for #4272, #4211",145,45,0,1
"WWBN/AVideo","f6eeb9aa324947acedbe5598bd99acc0b89f0834","Maikuolan","2021-01-01 08:52:07","true","Update JShrink (~v1.3.3).",149,45,0,1
"WWBN/AVideo","faeb154a88c97c704f3186db48b3ccebd094d910","DanielnetoDotCom","2021-11-13 13:07:37","false","Fix",90,55,0,1
"WWBN/AVideo","21a0d0ae6a880f468b2d583a7c45d45716482117","DanielnetoDotCom","2020-10-22 12:51:52","false","",151,43,0,1
"WWBN/AVideo","45357ab9818ebe0a486013ae20b839045761582d","DanielnetoDotCom","2021-12-27 23:25:50","false","Make dummy",67,57,0,1
"WWBN/AVideo","c83a1926cd957fa21dc04fd1f17d97729badef53","DanielnetoDotCom","2022-02-25 19:11:29","false","Improve flick",71,59,1,1
"WWBN/AVideo","4f3ce8542a8e1fefc98fdcb6e87c45ecb16edf82","akhilleusuggo","2021-03-28 21:18:10","true","sudo

just avoid some wasted time when copy/past error Operation not permitted",155,48,0,0
"WWBN/AVideo","7b25ef67a0df02f0a565dfcd551b8646fd1f8933","JoshWho","2021-06-24 03:34:32","true","Darkend the Buttons",96,51,0,0
"WWBN/AVideo","21f37b925814f6a1eafae99d582603c6eba3e31e","DanielnetoDotCom","2020-09-21 19:33:24","false","",118,42,0,1
"WWBN/AVideo","a45484a4546030c2f981e353a5df0fabf8e40a7b","DanielnetoDotCom","2021-08-02 16:43:56","false","Remove warning",91,52,0,1
"WWBN/AVideo","bfde0d48d1c3f7fcdb0b9248934317c10faffa40","DanielnetoDotCom","2021-03-16 21:19:50","false","Fix cols",148,47,0,1
"WWBN/AVideo","12121f2d23a01108781b1cd117a4852b8aa9dbc1","DanielnetoDotCom","2021-11-13 13:58:47","false","Fix",90,55,0,1
"WWBN/AVideo","bea3fe3a40ab8e4e842816a1b822eaecf1d3e670","DanielnetoDotCom","2021-03-19 14:04:02","false","https://github.com/WWBN/AVideo/issues/4745",157,47,0,1
"WWBN/AVideo","141c4b28456f0fdc4d67a95f3400eb467b7952d1","DanielnetoDotCom","2021-10-13 19:06:29","false","Show only active schedule",84,54,0,1
"WWBN/AVideo","1dcbb185d3762dc5469775796328568c805599da","DanielnetoDotCom","2020-10-13 19:31:57","false","",139,42,0,1
"WWBN/AVideo","b68077d50c4083f46dbf992f484ae2c8e3cb85ab","DanielnetoDotCom","2021-09-03 14:23:00","false","Css fixes",86,53,0,1
"WWBN/AVideo","662d2669bfa30e1d10a118da67c4cef667bd27e3","DanielnetoDotCom","2022-02-05 17:12:24","false","Fix live count",76,58,1,1
"WWBN/AVideo","8257460b49c57e320e7b327460466303cf48657e","swimitup","2021-04-21 18:22:00","true","Update aVideoEncoder.json.php

correction on translation string line 15",132,49,0,0
"WWBN/AVideo","2c0a1feff1f475c47380658609a19f6018739ac8","DanielnetoDotCom","2020-07-13 17:29:07","false","faster script to read local files withour x-sendfile module",106,39,0,1
