"name_with_owner","sha","author","date","verified","message","num_issues","commit_month","has_ci","is_core"
"awsdocs/aws-doc-sdk-examples","db79808a89d62390b911702ef2a95d3b0cfa37ec","brmur","2022-03-24 13:25:25","true","Merge pull request #3014 from acadama123/patch-1

Updates npm run script to correctly build main.js",131,67,0,0
"awsdocs/aws-doc-sdk-examples","cff87abb8b138aafc01014322acf19e0655e0a06","scmacdon","2020-04-29 12:50:31","true","Update DescribeAccount.java",15,44,0,1
"awsdocs/aws-doc-sdk-examples","96a1ab94c9c6b8f1ba5875b58a5f3a374d42235f","scmacdon","2021-11-06 15:57:01","true","Update Readme.md",6,63,0,1
"awsdocs/aws-doc-sdk-examples","982f6270a2882995982dfd9c66f6c9147324df0c","scmacdon","2020-04-15 17:39:45","true","Update Query.java",15,44,0,1
"awsdocs/aws-doc-sdk-examples","d335c3240b67be5a2a8eb597cee40281a95ef00f","scmacdon","2023-01-13 15:46:55","true","Update pom.xml",184,77,1,1
"awsdocs/aws-doc-sdk-examples","eb6a7f20f10d7edd224aaeb4b93a7533eaec1118","scmacdon","2021-09-27 18:59:18","true","Update dynamodb_metadata.yaml",3,61,0,1
"awsdocs/aws-doc-sdk-examples","d8dc189e692633ce2e31af80d8c15e47d947eed1","brmur","2020-10-14 13:08:26","true","Merge pull request #1407 from awsdocs/dependabot/maven/java/example_code/athena/junit-junit-4.13.1

Bump junit from 3.8.1 to 4.13.1 in /java/example_code/athena",1,50,0,0
"awsdocs/aws-doc-sdk-examples","db7d0409e3192232fbeff20d5abc32d1d2d91716","scmacdon","2020-10-20 14:32:25","true","Update BidirectionalStreaming.java",1,50,0,1
"awsdocs/aws-doc-sdk-examples","4fc843f0881a0815f51ba3663a87c6b3fa2f43de","scmacdon","2020-04-22 19:43:36","true","Update DescribeInstances.java",18,44,0,1
"awsdocs/aws-doc-sdk-examples","8588eb43bb083d322ffdddf9c385edba91ac8255","scmacdon","2020-06-02 19:47:18","true","Update Readme.md",15,45,0,1
"awsdocs/aws-doc-sdk-examples","e3f5ff043e00dfe2ea4f34278abbf26dd959c296","Doug-AWS","2020-04-29 11:40:27","true","Merge pull request #1134 from Laren-AWS/Laren-AWS/s3-demos

S3 refactor and new usage demo",15,44,0,1
"awsdocs/aws-doc-sdk-examples","2d16dafbae9f0ec972872b767e6e092bd848b615","scmacdon","2020-03-04 23:17:37","true","Update pom.xml",16,42,0,1
"awsdocs/aws-doc-sdk-examples","68d949c801066cdcbf73e37a47b71b99b147ee9e","Doug-AWS","2020-05-12 14:18:17","false","Updating SQS code examples",14,45,0,1
"awsdocs/aws-doc-sdk-examples","af231dd73de1907c5feb1a1f4441380d549230e7","scmacdon","2020-08-20 17:18:05","true","Update Readme.md",1,48,0,1
"awsdocs/aws-doc-sdk-examples","d0683be85c7e10ef45ebd8557d6ea7e9b9807569","Doug-AWS","2021-12-20 17:44:13","false","Updated readme for S3 code examples",78,64,0,1
"awsdocs/aws-doc-sdk-examples","186463a764c9b3aaf121926a7ea406bf3e721752","scmacdon","2022-09-23 15:24:46","true","Add files via upload",166,73,1,1
"awsdocs/aws-doc-sdk-examples","3706c42aa2b25f25fa3ff8d9cdb000fe72cd198c","rlhagerm","2022-09-22 16:52:41","false","Incorporating feedback.

Incorporating feedback.",164,73,1,0
"awsdocs/aws-doc-sdk-examples","a8793e2cbf193fc2735bb5013f730a0070848f86","scmacdon","2020-12-14 16:06:28","true","Update Readme.md",1,52,0,1
"awsdocs/aws-doc-sdk-examples","4ede97b75b0acd39295906714c4ee97243db1264","Doug-AWS","2021-12-14 22:20:00","false","Updated LocalStack code example in Rust based on feedback",79,64,0,1
"awsdocs/aws-doc-sdk-examples","67c9b3b3b553396f3f46d1d28f031e003fe654ab","scmacdon","2022-10-12 14:29:33","true","Update Readme.md",177,74,1,1
"awsdocs/aws-doc-sdk-examples","2ae2998403c9b36fc76fe54c582364a46d6b7b52","Carey-AWS","2020-04-20 20:38:55","false","minor change",16,44,0,0
"awsdocs/aws-doc-sdk-examples","6aa4d4ea1730299a033fa65ceb139d94a5e606c0","Doug-AWS","2021-08-03 17:24:05","false","Updated Rust code examples to 0.0.13 alpha release bits",3,59,0,1
"awsdocs/aws-doc-sdk-examples","851197f7fde8967cbed4eaa26de9e50a4adfc646","irenepsmith","2021-03-30 15:15:45","false","Added tests to examples. Ready for merge.",3,55,0,1
"awsdocs/aws-doc-sdk-examples","4eed4aecaa517f6183cfc5fbf3434079d504f29d","scmacdon","2022-10-03 20:34:44","true","Update Readme.md",168,74,1,1
"awsdocs/aws-doc-sdk-examples","6db0eee4ec5fc60c09c915337c71f30958523fc5","scmacdon","2020-10-20 15:19:03","true","Update StreamTranscriptionBehaviorImpl.java",1,50,0,1
"awsdocs/aws-doc-sdk-examples","059860445847066da55a0a3cb8658999d53f7b90","beqqrry-aws","2022-03-15 16:29:23","true","Merge branch 'main' into update/rust_examples_for_breaking_timeout_and_config_changes",140,67,0,1
"awsdocs/aws-doc-sdk-examples","c703b28e122f6992141fba5ed169ddd388bd60a4","brmur","2021-11-23 12:19:52","true","Merge pull request #2416 from marojeee/patch-1

Update emc_getendpoint.js sample",7,63,0,0
"awsdocs/aws-doc-sdk-examples","bcd6167cb796a59546729700fa39936682f10121","scmacdon","2022-07-28 14:08:29","true","Add files via upload",140,71,1,1
"awsdocs/aws-doc-sdk-examples","7784edc925ed89e1a3508078dc6047022a4e1ff2","scmacdon","2020-12-20 15:33:15","true","Update Readme.md",1,52,0,1
"awsdocs/aws-doc-sdk-examples","21dacd0d09a74e30de448072c52dd93c24a04434","scmacdon","2021-01-14 20:10:58","true","Delete foo.txt",1,53,0,1
"awsdocs/aws-doc-sdk-examples","43688bd18dad256852d713b7f5cdd25fdb625799","knabben","2018-09-28 13:14:45","false","Adding missing import",13,25,0,0
"awsdocs/aws-doc-sdk-examples","3b3a4e327479e8be9db03bbeaaa8873c859438db","scmacdon","2021-03-16 15:14:17","true","Add files via upload",2,55,0,1
"awsdocs/aws-doc-sdk-examples","ea26a0b963e7b57d5c254f147254b4c8f22bf1ea","irenepsmith","2022-09-13 13:28:45","false","Fixed snippet tag typo",159,73,1,1
"awsdocs/aws-doc-sdk-examples","f0374090df79037bee658f28e9e288b813b79c8d","scmacdon","2022-08-29 13:25:08","true","Delete trackMySQL2.png",157,72,1,1
"awsdocs/aws-doc-sdk-examples","ef00192c141f0d8708e4ea5dfb557901d9a2b8f2","Doug-AWS","2017-11-10 20:19:24","false","Updated Go S3 example code to follow Go formatting standards and fix session instantiation.",5,15,0,1
"awsdocs/aws-doc-sdk-examples","fa9715ec076dcdb94e002f867d447a676e2fcda6","Carey-AWS","2020-05-20 05:54:01","true","added snippet tags for imports",14,45,0,0
"awsdocs/aws-doc-sdk-examples","10cdad9a9ef4f92a778c318ed292be90fcabe517","scmacdon","2020-10-26 16:03:58","true","Update pom.xml",1,50,0,1
"awsdocs/aws-doc-sdk-examples","f3d37435c310308777ecdafea432887c6a25e8d5","scmacdon","2020-01-22 16:18:40","true","Update GetObjectPresignedUrl.java

This code passed a Java Linter test",8,41,0,1
"awsdocs/aws-doc-sdk-examples","10d4d07c4cf2da2d13bc3e00cece3910c79f5d4a","scmacdon","2020-10-20 19:06:19","true","Update StreamTranscriptionBehavior.java",1,50,0,1
"awsdocs/aws-doc-sdk-examples","67b1db156c0b5f86baa0450c5e1febc07ae9023b","scmacdon","2021-08-31 22:40:32","true","Update StockTrade.kt",6,60,0,1
"awsdocs/aws-doc-sdk-examples","fc3d5c0e009eaf9f5cb497db2f60e3668a45099c","brmur","2021-07-22 14:10:29","false","Merge branch 'master' of https://github.com/awsdocs/aws-doc-sdk-examples into s3_tests",1,59,0,0
"awsdocs/aws-doc-sdk-examples","6965283b58029f6f9932e66ca62c86f38b4a252c","Doug-AWS","2021-10-28 12:37:02","false","Fixed snippet tags in SES code examples in Rust",7,62,0,1
"awsdocs/aws-doc-sdk-examples","41635c24c4a2b3e75ad024dee55d5dacf3f29009","scmacdon","2022-09-01 16:50:32","true","Update Readme.md",168,72,1,1
"awsdocs/aws-doc-sdk-examples","20da61c75ad9cf7f249686eef2eb387a41309f49","scmacdon","2020-06-08 14:56:14","true","Update Handler.java",15,46,0,1
