"name_with_owner","sha","author","date","verified","message","num_issues","commit_month","has_ci","is_core"
"containers/buildah","953950e0ef4e428b9db833ab8aa34045d0f9b7fe","jmguzik","2021-03-08 19:09:17","false","Remove duplicated code in addcopy

Signed-off-by: Jakub Guzik <jakubmguzik@gmail.com>",57,49,0,0
"containers/buildah","5b7aa1add5567b64bcaf4a247d732acaec55077d","nalind","2017-02-13 22:46:37","false","Drop supplemental groups for ""run""

Drop supplemental group resolution for the ""run"" command.  The necessary
functions weren't in go 1.5, and the runtime spec doesn't give us a
place to put supplemental group information anyway.

Signed-off-by: Nalin Dahyabhai <nalin@redhat.com>",7,1,0,1
"containers/buildah","9fafd493a024d2c7d394fcf09fb9b7c038d77caa","rhatdan","2018-05-25 09:44:17","false","buildah bud should require a context directory or URL

Also vendor in latest golang.org/x to attempt to fix issue with testing.
The latest tests were blowing up because of errors in the golang.org/x/sys
code.  Updating the vendoring and switching the validate Checkout are being
done to make the tests pass.

Signed-off-by: Daniel J Walsh <dwalsh@redhat.com>

Closes: #723
Approved by: TomSweeneyRedHat",61,16,0,1
"containers/buildah","b16a1eac077a20c6f345f8e4747aab56701f182b","TomSweeneyRedHat","2018-04-17 20:00:12","false","Add /bin/sh -c to entrypoint in config

Signed-off-by: TomSweeneyRedHat <tsweeney@redhat.com>

Closes: #596
Approved by: rhatdan",32,15,0,1
"containers/buildah","214e4c93350563cef06aa713a4bd6fa6ed35c636","openshift-merge-robot","2020-11-13 08:35:42","true","Merge pull request #2778 from nalind/copier-no-lsxattrs

copier.Get(): ignore ENOTSUP/ENOSYS when listing xattrs",72,45,0,1
"containers/buildah","e92e71e8266ae1b1e3c4ecc084ca51d63d2c86a2","flouthoc","2022-03-08 09:25:49","true","vendor: bump c/storage to main/93ce26691863

Signed-off-by: Aditya R <arajan@redhat.com>",30,61,1,1
"containers/buildah","03d782c011f18e4062afa2312ce0d43659f6b7f7","rhatdan","2020-07-24 15:20:32","true","Merge pull request #2490 from nalind/imagemap-race

Fix a race we hit during conformance tests",148,42,0,1
"containers/buildah","4a150f671a5c503a4600aa9a78beff9755cd25ad","rhatdan","2020-03-02 17:16:43","true","Merge pull request #2196 from containers/dependabot/go_modules/github.com/containers/common-0.4.2

Bump github.com/containers/common from 0.4.1 to 0.4.2",101,37,0,1
"containers/buildah","f2d53d35ce185127401a9ce15ed63dd49ab22246","TomSweeneyRedHat","2020-02-27 18:29:08","false","Bump back to v1.15.0-dev

Signed-off-by: TomSweeneyRedHat <tsweeney@redhat.com>",97,37,0,1
"containers/buildah","1d19db33f030cbfcf20cfeed4dc3fa464bb8757c","ypu","2018-11-12 08:58:36","false","Print command in SystemExec as debug information

Also print command line in SystemExec like docker and buildah
functions.

Signed-off-by: Yiqiao Pu <ypu@redhat.com>

Closes: #1172
Approved by: rhatdan",62,21,0,0
