"name_with_owner","sha","author","date","verified","message","num_issues","commit_month","has_ci","is_core","first_commit","days_since_first"
"ceph/ceph-csi","724eed5f94ab0d387cdeee3d92dcb0966b3953ff","MiaoZhou","2019-04-24 10:31:50","true","Merge pull request #1 from ceph/csi-v1.0

update",56,15,0,0,"2018-01-08 15:47:21","471.03"
"ceph/ceph-csi","00e7e29996726c0b712f36905528c273841bf5b2","MiaoZhou","2019-05-06 07:52:45","false","bump up the chart version",63,16,0,0,"2018-01-08 15:47:21","483.92"
"ceph/ceph-csi","76f1b4249851016ded3933824b58258d21dd7a69","Madhu-1","2021-09-07 06:36:14","false","cephfs: correct comment for validateExpandVolumeRequest

corrected the function comment for
validateExpandVolumeRequest.

Signed-off-by: Madhu Rajanna <madhupr007@gmail.com>",66,44,0,1,"2018-01-08 15:47:21","1335.37"
"ceph/ceph-csi","c0e775a49bf698d6aa96b38b88de09a5b17d5818","plnordquist","2018-12-11 19:03:45","false","Changed version to 0.1",17,11,0,0,"2018-01-08 15:47:21","333.14"
"ceph/ceph-csi","46b19a93f5485ad5bb248fd638cfe8c8da220efa","humblec","2019-06-10 11:19:40","true","Merge pull request #416 from Madhu-1/update-golanglint

Enable all static-checks in golangci-lint",75,17,0,1,"2018-01-08 15:47:21","517.06"
"ceph/ceph-csi","b2c9c589aa8b9efe238a4ce758f117d79411d31b","agarwal-mudit","2020-07-28 14:14:04","false","util: fix tracevol.py to use namespace argument

tracevol.py accepts namespace argument but doesn't use it currently, fixing the same.

Signed-off-by: Mudit Agarwal <muagarwa@redhat.com>",115,31,0,0,"2018-01-08 15:47:21","930.44"
"ceph/ceph-csi","3dde768894efa5cc4a075def0f8371e6477ae6b7","humblec","2019-07-08 05:15:07","true","Merge pull request #456 from Madhu-1/rbd-mount-opt

support mountflags during nodepublish in rbd",80,18,0,1,"2018-01-08 15:47:21","545.81"
"ceph/ceph-csi","85b8415024286552c1203d65ff95c2834343e676","rootfs","2019-01-15 16:15:30","false","Merge branch 'master' into master-to-1.0",17,12,0,0,"2018-01-08 15:47:21","372.27"
"ceph/ceph-csi","40ae60cbe432772c691a2e853088896011c2d20a","Madhu-1","2020-11-30 12:10:05","false","ci: add github action for multiarch build

added a github action for multiarch docker
build.

Signed-off-by: Madhu Rajanna <madhupr007@gmail.com>",83,35,0,1,"2018-01-08 15:47:21","1052.35"
"ceph/ceph-csi","5cb8f80c101dd3ced89d5f0b9c28dc072cb280d5","humblec","2022-08-17 12:55:18","false","build: enable ceph_pre_quincy tag

This commit add ceph_pre_quincy tag to the build. The main
reason being the changes or new APIs exposed in go-ceph version
v0.17.0 is part of this Ceph build tag. Enabling the same for
the reason.

Signed-off-by: Humble Chirammal <hchiramm@redhat.com>",41,55,1,1,"2018-01-08 15:47:21","1679.88"
"ceph/ceph-csi","43500fd6b8cc53fdb7dca5790df64823d0839665","nixpanic","2020-06-09 09:10:17","false","ci: disable storage addons when starting minikube

Storage providers and the default storage class is not needed for
Ceph-CSI testing. In order to reduce resources and potential conflicts
between storage plugins, disable them.

Signed-off-by: Niels de Vos <ndevos@redhat.com>",115,29,0,1,"2018-01-08 15:47:21","881.22"
"ceph/ceph-csi","9f0af30735f34b4977e56a29e4035ce3edd8fc0c","Madhu-1","2021-07-28 03:47:05","false","e2e: add retryKubectlArgs helper for kubectl retry

added helper function retryKubectlArgs to perform
action if its a known error.

Signed-off-by: Madhu Rajanna <madhupr007@gmail.com>",118,43,0,1,"2018-01-08 15:47:21","1295.25"
"ceph/ceph-csi","75ae16cfab86f387c22dfc3d3e147e2ffc263500","nixpanic","2020-08-07 08:02:31","false","util: use local DefaultLog() for util/topology instead of klog

Signed-off-by: Niels de Vos <ndevos@redhat.com>",117,31,0,1,"2018-01-08 15:47:21","940.18"
"ceph/ceph-csi","8e434bb3ee2d173f451c09c1dbc8250b9547eccc","agarwal-mudit","2020-09-21 08:54:50","false","build: update vendor with latest version

Updating the version of golang.org/x/text to version v0.3.3.
It fixes the vulnerability in http://golang.org/x/text/encoding/unicode
which leads UTF-16 decoder entering an infinite loop causing
the program to crash or run out of memory.

Signed-off-by: Mudit Agarwal <muagarwa@redhat.com>",132,32,0,0,"2018-01-08 15:47:21","983.21"
