"name_with_owner","sha","author","date","verified","message","num_issues","commit_month","has_ci","is_core"
"doccano/doccano","b02222eea000a2b92be055bbc82c8b490293fd8e","Hironsan","2022-02-01 02:14:24","false","Fix label creation",57,45,1,1
"doccano/doccano","821ec0ec87ea1b52f4e7852db912831ab0759d0a","c-w","2019-01-28 19:27:32","false","Automate bundle creation",13,9,0,0
"doccano/doccano","40684396d4d085200b5a2f267f7d02ec47786cc2","SuperMaskv","2022-12-20 07:43:09","false","improve Chinese support",15,55,1,0
"doccano/doccano","80bd91074d75153e3d961d83c69fcfcf76371ed5","Hironsan","2019-10-30 06:08:17","false","Enable to upload file",18,18,0,1
"doccano/doccano","7f2cfb1717f82b8328463a6113010ecb48ec68c4","Hironsan","2021-04-23 06:10:45","false","Split test cases",61,35,1,1
"doccano/doccano","26669d20ae03c31193d4dda2f2205a6841327796","Hironsan","2021-11-04 05:23:33","false","Add test cases for ingesting sequence labeling data",87,42,1,1
"doccano/doccano","16d52fda79b856bf80e909663073cc11c038843d","Hironsan","2021-04-20 04:25:15","false","Remove polling on before destroy",83,35,1,1
"doccano/doccano","7bd06cf1050747a32f75c7a90cbc4c5717372926","Hironsan","2022-01-11 01:30:17","false","Create roles app",53,44,1,1
"doccano/doccano","584e82ccd9dfc0654be301b78699f7eb504909ee","Hironsan","2022-01-25 02:27:22","false","Update ConfigTemplateName.vue to post task type",56,44,1,1
"doccano/doccano","4144d2290cebd545a58238af5ecdbbe4157f5d8e","Hironsan","2022-04-25 04:07:47","true","Merge pull request #1799 from doccano/enhancement/datasetExport

Enhancement/dataset export",51,47,1,1
"doccano/doccano","e38d9d1f8719f0a9393ddad5496dd4a09fd59121","Hironsan","2020-12-07 04:21:27","false","Update setup.py",63,31,0,1
"doccano/doccano","27503b862505b45df78d179ce9e1619a2be0d063","SwiftPredator","2020-12-14 21:15:59","false","Added dynamic filename and more precise default filename when exporting",68,31,0,0
"doccano/doccano","7d34acf66a20d9394597dbd9035efd0fd5b24355","CaseyZhang11","2022-07-13 22:27:16","false","update test cases",66,50,1,0
"doccano/doccano","8b7dedca3991e0b253d949bc82409300380aa959","Hironsan","2020-07-28 06:38:07","false","Merge branch 'pull/675'",57,27,0,1
"doccano/doccano","9401a469d3cd4c017ab03f7a3ebef777ab0b45c8","c-w","2019-12-11 20:46:53","false","Implement skeleton for speech2text project type",25,19,0,0
"doccano/doccano","2e4134c8317d51ac4e5d848ca51bf9787abffcfb","Hironsan","2021-02-17 02:32:41","false","Add exception handling when there is no auto labeling config",74,33,1,1
"doccano/doccano","f62090237fe61c69f4b752dc169181505092d1e1","Hironsan","2021-02-28 23:03:36","false","Add user model",79,34,1,1
"doccano/doccano","8232a6b035b3a27f405f840e625bf88abaa17437","harmw","2020-06-10 11:36:39","false","Add in bash and symlink /usr/bin/python

Pip3 doesn't need to be symlinked as the creation of /usr/bin/pip is
done through installation of setuptools (or the pip upgrade).",77,25,0,0
"doccano/doccano","965f760da066cb8c35c739088cfb3ac0e296a5c7","Hironsan","2022-01-07 00:20:38","false","Update useLabelList to pass LabelApplicationService",53,44,1,1
"doccano/doccano","b80976b79a7b9e6357ddcca756fb884fb6a54e5c","Hironsan","2021-05-10 06:27:10","false","Add Image CRUD APIs",46,36,1,1
"doccano/doccano","0dde28f2cc97c097bda877031668f28d79f98d25","setu4993","2020-04-24 02:25:20","false","Add tests",56,23,0,0
"doccano/doccano","673a4e58572dbd3bf3a9ae774cae6115cde4cfbc","lapolonio","2021-03-28 14:34:14","false","fix #1270",78,34,1,0
