"name_with_owner","sha","author","date","verified","message","num_issues","commit_month","has_ci","is_core"
"wwmm/easyeffects","e23063b1415f693547115844eb3bf7301bef1b46","wwmm","2021-03-17 15:18:28","false","porting the maximizer plugin to the pw_filter API",86,48,0,1
"wwmm/easyeffects","53ff5dbc0db29054d3b2fa9db9f1865247fce8ac","wwmm","2017-05-18 17:52:37","false","enabled window resizing",4,2,0,1
"wwmm/easyeffects","0612577e5dd92f4280b8f968654c77b6c1fc024a","wwmm","2019-02-16 18:32:51","false","code refactoring",21,23,0,1
"wwmm/easyeffects","e11c2d91c263d893b97b667990bd0c6bc2c23417","mikhailnov","2019-04-28 19:31:57","false","deb v4.6.0",21,25,0,1
"wwmm/easyeffects","25fe7635005a90cf542d87a381c93f4907fd6d56","wwmm","2018-10-16 15:10:06","false","improved dynamic pipeline",26,19,0,1
"wwmm/easyeffects","c3c57e983f669cd1a9c503c6c8d4eeabada12f86","wwmm","2018-05-03 14:31:35","false","porting application ui to c++",19,13,0,1
"wwmm/easyeffects","3dbb285049e735b2f1900eacb46360df7a20cf30","wwmm","2021-02-28 18:37:19","false","using gtkmm4",77,47,0,1
"wwmm/easyeffects","e220815e8d1f757431e8e84d85236233c24a9c43","easyeffects-bot","2022-09-10 14:59:16","false","Update translation templates",66,66,1,0
"wwmm/easyeffects","4d681b894a94126eb2ffd477d5f598af75319e40","wwmm","2018-04-20 04:20:13","false","webrtc plugin working",13,13,0,1
"wwmm/easyeffects","cc4cec49b9591c9000030591b70172b49face64a","hch12907","2023-01-24 10:07:24","false","Fix property strings",42,70,1,0
"wwmm/easyeffects","0169ae55aab1062b8513cf2edda75ba28da1a666","wwmm","2019-06-23 15:47:54","false","handling boost process exceptions",16,27,0,1
"wwmm/easyeffects","a486ce118413ccbce00590b467bf00aa38917d86","wwmm","2021-03-22 17:57:22","false","porting the equalizer plugin to the pw_filter API",86,48,0,1
"wwmm/easyeffects","7a4682be9affafbf3333b9e0d3a7ad3ef437d9f7","wwmm","2023-08-11 04:50:45","false","Using the proper tags in the level meter plugin. Fixes #2502",11,77,1,1
"wwmm/easyeffects","7b47a1baa8068e4cf97355e0b5fb20584d2c139b","Digitalone1","2023-08-09 08:14:20","true","Translated using Weblate (Khmer (Central))

Currently translated at 0.0% (0 of 168 strings)

Translation: EasyEffects/changelog
Translate-URL: https://hosted.weblate.org/projects/easyeffects/changelog/km/",10,77,1,0
"wwmm/easyeffects","b7931c767f2b43e1acf30e06c97ca7a5096e2d81","wwmm","2021-04-02 00:00:13","false","porting the convolver plugin to the pw_filter API",91,48,0,1
