"name_with_owner","sha","author","date","verified","message","num_issues","commit_month","has_ci","is_core","first_commit","days_since_first"
"epam/ketcher","2842cb47d8154427b20ca7e62a37ade07182f357","AndreiMazol","2021-03-17 11:34:31","false","Merge remote-tracking branch 'origin/release/2.2'",56,39,0,1,"2017-12-28 09:14:21","1175.85"
"epam/ketcher","0b08a3a85d3cb623df691a1bb08e2124c7e528da","softcat23","2021-01-26 13:32:38","false","use clsx",56,37,0,0,"2017-12-28 09:14:21","1124.93"
"epam/ketcher","a1ec7bfd355eb62bad32bce14fe215cc2a6b0b21","y-holik","2023-08-03 14:28:56","true","Atom gen-added test , updated scope for Group gen (#3015)",59,67,1,0,"2017-12-28 09:14:21","2042.47"
"epam/ketcher","42a61679e0c8fe8d9ed71ad2332137964f8df89c","ElenaOdnoshivkina","2021-10-07 11:37:54","true","condition for adding children when inserting s-group to forest (#817)",33,45,0,0,"2017-12-28 09:14:21","1375.85"
"epam/ketcher","3d01b9855e8bac2844ef118b5f8af61e1376f13a","Vehemen","2023-08-09 13:58:57","false","Merge branch 'Manipulations' of https://github.com/epam/ketcher into Manipulations",53,67,1,0,"2017-12-28 09:14:21","2048.45"
"epam/ketcher","f40f639bf4cf83380763e7b4cf96919c9c94dc27","vitaepam","2023-10-16 09:21:45","true","Macro: #3420 - Monomer does not move on first click and drug (#3432)

* #3420 - Update Select Rectangle",36,69,1,0,"2017-12-28 09:14:21","2115.26"
"epam/ketcher","b2ba82899983da41d9e7a0d4bbe961ba8bc490fd","karen-sarkisyan","2022-03-22 10:24:25","true","#1309 top panel redesign (#1335)

* Update svg images

* Create zoom slider with non-linear scale transformer

* Redesign and refactor top panel components with MUI and emotion

Co-authored-by: Karen Sarkisyan <karen_sarkisyan@epam.com>",25,51,1,0,"2017-12-28 09:14:21","1546.05"
"epam/ketcher","953b015f571a817580874767f936a52dfba50d06","Vehemen","2023-08-03 11:53:59","false","final=preparations.",59,67,1,0,"2017-12-28 09:14:21","2042.36"
"epam/ketcher","03925b2d56f550fcb15fa5272217a344e538f83c","Nitvex","2022-10-31 13:03:59","false","Merge branch 'master' of https://github.com/epam/ketcher into #1801-worker-speed-up",25,58,1,0,"2017-12-28 09:14:21","1764.16"
"epam/ketcher","63aadb2925e67d144787d21b0fe52bfd207ced01","AnastasiiaPlyako","2023-06-19 10:56:38","false","update version code ql, delete test:ci",57,66,1,0,"2017-12-28 09:14:21","1998.32"
"epam/ketcher","06244938326729858659c1eadf4f71f47cc362df","porcelain11","2022-12-30 14:01:18","false","#1963 Small fix on comment",62,60,1,0,"2017-12-28 09:14:21","1828.45"
"epam/ketcher","90998b8c03631d295970195d5212bf912ed9be4e","Vehemen","2023-07-28 16:20:06","false","Updetes",59,67,1,0,"2017-12-28 09:14:21","2036.55"
"epam/ketcher","c45aa4fb3a94951f5e00cc916c6ad19d1520174c","Nitvex","2022-12-23 13:31:39","true","Backmerge: #1986 – SMILES: Pasting structure with small letters throw an error (#1991) (#1993)",47,60,1,0,"2017-12-28 09:14:21","1817.18"
"epam/ketcher","37318e348ccdff608f45a8ec552ad0b72b0e4bfe","Iogsotot","2023-06-26 13:29:47","true","#2707 Update ketcher toolbar UI styles (#2795)

* feat: update toolbar ui styles

* feat: update colors for AtomsList & styles for divider

* fix: update code-style fixes & update rotate-controller test

* feat: move Shape button to Text button

* refactor: add constants for AtomsLIst colors

* fix: redundant button array renderer

* #2707 – updated screenshots

---------

Co-authored-by: Nikita_Vozisov <Nikita_Vozisov@epam.com>",54,66,1,0,"2017-12-28 09:14:21","2005.43"
"epam/ketcher","c60b177985e5253e603346ee8c2435ee99db0ff5","yuleicul","2023-07-11 07:12:52","true","#2760 Snap partially selected structure to an attachment bond when rotated (#2792)

* #2760 - refactor(rotate tool): naming and functions

* #2760 - feat: snap partially selected structure to an attachment bond

* Extract text and line drawing functions

* Fix functional group to enable snapping

* Fix prettier",56,66,1,0,"2017-12-28 09:14:21","2020.17"
"epam/ketcher","51a7077f6d8b7ded9b0d051075ab4644ed832282","vitaepam","2023-08-11 08:54:04","false","#2389 - remove brackets for DAT S-Groups",51,67,1,0,"2017-12-28 09:14:21","2050.24"
"epam/ketcher","9bb73a3b6c04ebf12486747ee3c6939a58bd5eae","ansivgit","2022-11-18 10:29:20","false","#1822 fixed prettier issues",37,59,1,0,"2017-12-28 09:14:21","1782.05"
"epam/ketcher","822bfe8908ba4f8884c652ccc81b7d9a9c2ea2f2","karen-sarkisyan","2022-03-05 12:59:01","true","#1193 refactor tests in polymer editor (#1302)

* Remove test-utils, create global helper functions for tests instead

* Remove unnecessary __tests__ folders

* Update FileDrop test to fix error in console

Co-authored-by: Karen Sarkisyan <karen_sarkisyan@epam.com>",22,50,1,0,"2017-12-28 09:14:21","1529.16"
"epam/ketcher","84ff1f21108095f1192a39ef491287d585010e7f","LadaYudovina","2022-10-13 12:29:33","false","a bit refactoring",30,57,1,0,"2017-12-28 09:14:21","1747.14"
"epam/ketcher","099c90b74d4d60b5ecb99e1973e76cae02f1d4f9","softcat23","2021-01-20 16:06:12","false","revert removed css",55,37,0,0,"2017-12-28 09:14:21","1119.04"
"epam/ketcher","7167b4096b70571bf664cb13ab2694aeb3a5c1fd","evgeniiFrolov1","2022-08-31 09:11:33","false","Update versions of packages.
ketcher-react is 2.5.2
ketcher-core 1.4.1",18,56,1,0,"2017-12-28 09:14:21","1704"
"epam/ketcher","ce2d094c71980ed5bd4ac90dfba8f467360fb9da","AndreiMazol","2021-02-09 14:53:33","true","#304 'Calculated Values' with structure with bad valence makes page blank #306

 add error rendering to FormulaInput",61,37,0,1,"2017-12-28 09:14:21","1137.99"
"epam/ketcher","1056e9fa156aaee46a63e0c24f5a10208e4f9fdc","AndreiMazol","2020-11-26 14:16:05","false","#97 publish Ketcher to NPM (#115)

- update webpack.config.js
- update index.html
- update README.md",24,35,0,1,"2017-12-28 09:14:21","1059.71"
"epam/ketcher","cc9c177768b282d5522d7fbc93cb2d4cd86ed9d3","AndreiMazol","2020-12-07 13:42:08","true","#143 pasting into 'Open structure' box does not work (#151)

- update dialog.jsx
- cancel paste to cliparea if event.target is form element",27,35,0,1,"2017-12-28 09:14:21","1070.69"
