"name_with_owner","sha","author","date","verified","message","num_issues","commit_month","has_ci"
"lvgl/lvgl","343515cd4dc7cc339772540b9a56de5e84e05c80","papadkostas","2022-01-06 14:05:44","true","fix(fatfs) add missing cast (#2969)

f_tell requires a FIL type pointer causing compiling to fail.",22,67,1
"lvgl/lvgl","fb0979cbc1d58096144657c58e9b7da0504e89ff","guoweilkd","2021-05-18 14:02:52","true","docs(timer) fix typos (#2261)

Co-authored-by: guowei15 <guowei15@xiaomi.com>",13,59,1
"lvgl/lvgl","e24f58962b97a92bdfc9db6689a4b855a535a64e","GorgonMeducer","2022-01-15 20:31:55","true","feat(cmsis-pack): add cmsis-pack support (#2993)

* feat: add cmsis-pack for lvgl

* feat: add porting to cmsis-pack

* fix template compilation issue

* Update lv_cmsis_pack.c

Co-authored-by: Gabor Kiss-Vamosi <kisvegabor@gmail.com>

* feat(cmsis-pack): prevent lv_cmsis_pack.c from being automatically picked by IDE like eclipse.

- catchup the latest master

* move all cmsis pack related files to cmsis-pack folder

Co-authored-by: Gabor Kiss-Vamosi <kisvegabor@gmail.com>",23,67,1
"lvgl/lvgl","4aa6829bdc86810447777856f23f163f78a8459c","GorgonMeducer","2022-01-29 13:22:51","true","fix(cmsis-pack): fix issue #3032 (#3056)

* fix(cmsis-pack): fix issue #3032

- catchup with the latest master branch
- fixed an cmsis-pack issue
- update lv_conf_cmsis.h with the latest lv_conf_template.h

* fix(cmsis-pack): update default value of LV_MEM_SIZE for better user experience

- Improve user experience when people use cmsis-pack to try demo: widgets",26,68,1
"lvgl/lvgl","c5e7fbd95334feb0e119f16a96f7e96b867a71fd","paulpv","2019-09-26 19:47:31","false","Merge remote-tracking branch 'littlevgl/dev-6.1' into dev-6.1",7,39,0
"lvgl/lvgl","e827207080c76d90f6df75f90f920676d9940c33","xiaoxiang781216","2022-05-04 19:00:49","true","fix(config): Keep the sequence of widget in order (#3314)

Signed-off-by: Xiang Xiao <xiaoxiang@xiaomi.com>",25,71,1
"lvgl/lvgl","34f8013465350e864671b626134ec24a49ce1dff","fallstool","2018-10-30 09:04:11","true","Update lv_list.h",49,29,0
"lvgl/lvgl","1fa7257801f4e0d3c184be438fd7ecb067818c48","embeddedt","2021-12-02 13:32:09","true","ci(micropython) switch to newer GCC action",26,66,1
"lvgl/lvgl","75f3198c3d136f5e542f2a0e100d5f7189901a94","Ferruck","2019-01-02 14:18:02","false","lv_log: Fix type limits error

When building LittlevGL with a rather recent compiler (tested with GCC
7.3.1 provided by Arm), `-Wall`, `-Wextra` and `-Werror` activated and
`LV_LOG_LEVEL` set to `LV_LOG_LEVEL_TRACE`, compilation fails due to a
type limits error in lv_log.c

     if(level >= LV_LOG_LEVEL) {
              ^~

because the comparison is always true, since level is a `lv_log_level_t`
(that is a typedef for `uint8_t`) and `LV_LOG_LEVEL_TRACE` equals 0.

Fix that by making `lv_log_level_t` a typedef to `int8_t`.

Fixes #690",49,31,0
"lvgl/lvgl","38ad5d548b2024f0f742ba769a6715fc376541a1","embeddedt","2021-07-11 19:37:43","true","fix(workflow) speed up MicroPython workflow

Previously cloning submodules took a very long time - too slow to give useful feedback.",18,61,1
"lvgl/lvgl","d965db9fe6d0f29398c44fc7fd50b8e392ebcc53","embeddedt","2019-03-18 12:56:48","true","Merge pull request #957 from manison/patch/fix-vla-compile-error

Fix error on compiler without VLA support",32,33,0
"lvgl/lvgl","7f7034f50fd62b3a3335e72510e129dab4cc3745","embeddedt","2019-06-23 16:48:58","true","Fix C++ issue reported in #1113

Fix conversion from void * to structure without cast",16,36,0
"lvgl/lvgl","523c9793cb81f21211b8687c2dd0da2b02bf4f46","kisvegabor","2020-03-23 16:13:46","false","draw label: remove 8bpp optimization becasue it's not that effective",9,45,0
"lvgl/lvgl","8a50edd0689c7133ca18fd476596ddc4088f86a9","kisvegabor","2021-08-11 08:37:21","false","fix(dropdown) handle LV_KEY_ENTER

fixes https://forum.lvgl.io/t/how-to-send-key-events-to-a-dropdown/6393",21,62,1
"lvgl/lvgl","e3c85f6baf4ad89c167e653a7f6c826d1e2e0760","kisvegabor","2020-01-09 14:10:45","false","improve style caching",12,43,0
"lvgl/lvgl","0daa222fdb6a33b12acac8d076789d8fdc06732c","kisvegabor","2020-11-20 09:27:30","false","Merge branch 'dev' of https://github.com/littlevgl/lvgl into dev",30,53,1
"lvgl/lvgl","94bf21b9be0fc75616bd1390e146c80d647414e1","kisvegabor","2018-04-09 10:33:33","false","lv_fs: fix duplicated error cheching",47,22,0
"lvgl/lvgl","62195b7cc7c9c9dc643985c11f4f4de6571b530c","kisvegabor","2019-02-18 05:41:02","false","lv_label_draw fix with offset.y",54,32,0
"lvgl/lvgl","6b1a8f19f5a6085837a82fff5f3295fb92c09289","kisvegabor","2020-11-30 09:05:30","false","fix(slider): remove CHECHABLE flag",21,54,1
"lvgl/lvgl","b87d16fc6ec92ed9f216b976c1e38fca3691959c","kisvegabor","2020-09-07 08:18:37","false","fix textra focus event sending",21,51,1
"lvgl/lvgl","b9b4ba5b2608f5709678463f62b3d3f937780235","kisvegabor","2021-06-18 12:15:53","false","test cleant up report folder",22,60,1
"lvgl/lvgl","1fd1db32297d51772b0aadc4b617249e52294f53","kisvegabor","2021-05-19 19:56:49","false","Merge branch 'master' of https://github.com/littlevgl/lvgl",12,59,1
"lvgl/lvgl","cff1c299abcc348212081212e09f87de45f45f34","kisvegabor","2017-11-21 09:35:57","false","add misc as submodule",13,17,0
