"name_with_owner","sha","author","date","verified","message","num_issues","commit_month","has_ci","is_core"
"netbox-community/netbox","bbf4b906e4083dbeadbaa802af5aac18e1896ba3","sleepinggenius2","2022-07-26 21:16:03","false","Adds patterned_fields support for bulk components",173,77,1,0
"netbox-community/netbox","544d991e1e614b97f36fa1b58900189e0f41bbc9","jeremystretch","2021-12-23 16:13:28","false","Closes #8168: Add min/max VID fields to VLANGroup",122,70,1,1
"netbox-community/netbox","f81b3d4ed6144783f4fd93929bb08ce8cac41138","jeremystretch","2021-06-09 16:11:47","false","Rename fail() kwarg from attr to field",145,63,1,1
"netbox-community/netbox","8b57a888e797d7077a29bfcb6bb665d8eead9495","jeremystretch","2020-04-13 15:31:16","false","Post-release version bump",116,49,1,1
"netbox-community/netbox","b1aa7fa7f83c9bf7258754594dcd0ad420fd1ad9","jeremystretch","2020-05-06 14:16:23","false","Changelog for #3147",108,50,1,1
"netbox-community/netbox","f25649955eac44e284351aa919772f5ddb142fa5","jeremystretch","2021-07-23 17:45:56","false","Exclude NPM files from git (v3.0+)",139,65,1,1
"netbox-community/netbox","0a921d37f8a09c83a9a8b850e14c05615002030c","jeremystretch","2019-10-09 20:45:33","false","Fixes #3582: Enforce view permissions on global search results",184,43,0,1
"netbox-community/netbox","3e1961b435458f4e26fadd98ac91d5b862f22674","jeremystretch","2020-09-21 18:49:39","false","Changelog for #2179",135,55,1,1
"netbox-community/netbox","6f8591f76994f2b943e3c8fd9d1ab02c5d62ddd5","jeremystretch","2019-04-08 16:20:24","false","Closes #3052: Add Jinja2 support for export templates",138,37,0,1
"netbox-community/netbox","b0fb474aa2d48799016b0be45be67f72cc61c0c5","jeremystretch","2019-12-10 20:16:20","false","Update dependency versions for v2.7",171,45,0,1
"netbox-community/netbox","c353a91879208b656ab3f61b54665d5ad1e4288b","jeremystretch","2016-03-29 14:50:06","false","Display up to three layers of submodules",2,1,0,1
"netbox-community/netbox","841db3b0c2b5aee4702b1ba67c1ee8ef5e061896","jeremystretch","2018-10-05 16:22:46","false","Fixes #2491: Fix exception when importing devices with invalid device type",141,31,0,1
"netbox-community/netbox","bb5432de7d6d37ae03e801aba23125800cd7751a","jeremystretch","2018-11-08 16:13:03","false","PEP8 fix",134,32,0,1
"netbox-community/netbox","f0ced98dc6cbe25df11191fcceb6676ceb2e19c0","jeremystretch","2020-02-14 20:17:04","false","Delete unused test data",122,47,1,1
"netbox-community/netbox","b6f8c248de56d9db9db76ce9226cf4ec34d8c2f4","jeremystretch","2019-12-11 22:07:56","false","Addressed lingering TODOs",168,45,0,1
"netbox-community/netbox","424c2a59d6bd726cbd9437b7483aeeba602a183a","jeremystretch","2017-01-06 21:50:57","false","Table rendering optimizations",75,10,0,1
"netbox-community/netbox","f4a873745f48f2c53bca0cd95a7198b3daea8341","jeremystretch","2017-07-25 15:26:50","false","Post-release version bump",89,17,0,1
"netbox-community/netbox","4f5caa5ed27692fac07eda11f0d7bb6295fed08a","jeremystretch","2022-11-01 20:48:40","false","Release v3.3.7",183,80,1,1
"netbox-community/netbox","64c9bf27c10e88a27b7f58c0ca8405bbf8606163","jeremystretch","2020-02-26 20:34:42","false","Fix exit statement in upgrade script",132,48,1,1
"netbox-community/netbox","553fe0fe97aa9f138be18680e5fe7f33469d6808","jeremystretch","2019-10-10 17:50:57","false","Merge branch 'develop' into 451-devicetype-import",182,43,0,1
"netbox-community/netbox","989d6f5af31761b9dd240248af3fb1decc31c8ee","jeremystretch","2020-01-09 16:37:19","true","Merge pull request #3871 from hSaria/3864-disallow-0-masks

Fixes #3864: Disallow /0 masks",143,46,0,1
"netbox-community/netbox","d195f9c6ea635f0603773715e2566d2a41d49597","jeremystretch","2023-10-17 17:04:39","true","Merge pull request #14057 from netbox-community/develop

Release v3.6.4",48,91,1,1
"netbox-community/netbox","028c876bcafbaede2731f191512bbebe3f1b6a9e","jeremystretch","2021-07-08 02:08:01","true","Merge pull request #6716 from netbox-community/6639-drop-cacheops

Closes #6639: Replace django-cacheops with django-redis for caching",146,64,1,1
"netbox-community/netbox","4334f1bc65e552eb2274476334da7426a807fb3a","jeremystretch","2019-03-07 19:06:00","true","Merge pull request #2979 from TakeMeNL/fix/2944

Fixes: #2944 Adding/removing an IP address is not recorded on the associated interface's changelog",130,36,0,1
"netbox-community/netbox","a5a7358d26f359f3ac4733459fd8dfdf8b526f92","jeremystretch","2017-11-14 18:25:11","true","Merge pull request #1708 from digitalocean/develop

Release v2.2.5",96,20,0,1
"netbox-community/netbox","71c363ebc853bff1e1b158ffbae0d6b19a05bbde","jeremystretch","2020-03-11 15:17:40","true","Merge pull request #4299 from netbox-community/2328-external-authentication

Closes #2328: External user authentication",118,48,1,1
"netbox-community/netbox","a38a880e67d78eba52f19cc4c2613e9399939c2f","jeremystretch","2022-06-22 21:01:07","false","Refactor source IP resolution logic",190,76,1,1
"netbox-community/netbox","b98ac64ac2e1160cc79b47bab85b1702fe6cab54","jeremystretch","2020-01-15 19:54:46","false","Fix reference to obsolete constant IFACE_MODE_TAGGED",129,46,1,1
"netbox-community/netbox","e02936a44a4f4e0fd2c9ec3074a6512f40f7789e","jeremystretch","2020-07-06 15:15:20","false","Fix reports API test case",107,52,1,1
"netbox-community/netbox","ecba9699edd342f12eba64d4a9b6f2f124f06fc4","jeremystretch","2022-06-07 18:56:46","false","Introduce Node class for SVG boxes",194,75,1,1
"netbox-community/netbox","27e8841a6d596528d40e5a6d8122e14985108154","jeremystretch","2018-07-31 15:38:32","true","Merge pull request #2287 from TakeMeNL/bug/2286

Fix #2286 : Non working 'mark installed' button",125,29,0,1
