"name_with_owner","sha","author","date","verified","message","num_issues","commit_month","has_ci"
"TanStack/query","d4a90bdfc7cf94a751d8e38bb8b4ee076c61c331","tannerlinsley","2019-11-07 19:23:04","false","Merge branch 'master' of https://github.com/tannerlinsley/react-query",2,2,0
"TanStack/query","3ef9c7cba1fd7c859e0897ee663a122f14afc5b8","tannerlinsley","2020-05-15 21:06:32","false","Merge branch 'master' of https://github.com/tannerlinsley/react-query",12,8,0
"TanStack/query","ebb749a5b66f7d52d09fd8b6add346c913837c2b","tannerlinsley","2020-03-05 17:25:29","false","Add force and throwOnError options to query.refetch, updated docs

Fixes #202",5,6,0
"TanStack/query","fe44466a694fcc641e9628dc6d5eb389df8e03e3","fizwidget","2020-07-09 23:33:20","true","docs: Better comparison info about Apollo (#727)

Apollo does a deep comparison of the variables object when deciding whether or not the query needs to be re-executed. 

I can’t find this in the documentation, but know it to be true from experience. A quick squiz at the source code seems to indicate this is where it’s implemented:

https://github.com/trojanowski/react-apollo-hooks/blob/master/src/useQuery.ts#L119

(‘objToKey’ serialises the variables object.)",7,10,0
"TanStack/query","285fa2822678abc51aed57acf5d707d23048011c","edvinerikson","2019-12-01 23:08:55","false","Fix setQueryData crash (#54)

* Add test infra

* Add basic test and fix for setQueryData",2,3,0
"TanStack/query","ea673770c00c0aa94428126dc7a2d358cba911de","TkDodo","2023-01-23 15:31:16","true","docs: add readme.md to react adapter",32,40,1
"TanStack/query","3b2c4088e103e4b4ca990662c03fd6e67330b477","TkDodo","2021-05-07 15:52:17","true","feat(useQuery) transform placeholder data with select (#2108)

* feat(useQuery): run placeholderData through select

* feat(useQuery): run placeholderData through select

add a test for placeholderDataFunction

* feat(useQuery): run placeholderData through select

fix structural sharing, in the options, we might also have the placeholderData function, but on the previous result, we have the correct result from the previous iteration, which we want to keep if possible",36,20,0
"TanStack/query","fd5c3f1f2d0ca68667d6b9731c652651ed9e39d9","TkDodo","2022-09-18 09:39:41","true","fix: force release

RELEASE_ALL",21,36,1
"TanStack/query","7bfecd634704276eb83ba25786ed4ef60402f439","marbemac","2023-07-25 15:04:03","true","fix(solid-query): hydrate preloaded data correctly (#5775)

* fix(solid-query): hydrate preloaded data correctly

Signed-off-by: marbemac <marbemac@gmail.com>

# Conflicts:
#	packages/solid-query/src/createBaseQuery.ts

* only include extra props on server

Signed-off-by: marbemac <marbemac@gmail.com>

# Conflicts:
#	packages/solid-query/src/createBaseQuery.ts

* fix test watch command

Signed-off-by: marbemac <marbemac@gmail.com>

* update solid-start-streaming example deps

Signed-off-by: marbemac <marbemac@gmail.com>

# Conflicts:
#	examples/solid/solid-start-streaming/package.json
#	pnpm-lock.yaml

* add prefetch example to solid-start-streaming

Signed-off-by: marbemac <marbemac@gmail.com>

* fix: always fall back to resolving

Signed-off-by: marbemac <marbemac@gmail.com>

---------

Signed-off-by: marbemac <marbemac@gmail.com>",23,46,1
"TanStack/query","c45c1bfc4c9fcf6864f33e4f3d372777ccc3e16c","zorzysty","2022-11-06 15:40:33","true","fix(query-core): make isRefetching false when fetching next/previous page in an infinite query (#4465)

* fix: make isRefetching false when fetching next/previous page in an infinite query

* Update packages/query-core/src/infiniteQueryObserver.ts

Co-authored-by: Dominik Dorfmeister <office@dorfmeister.cc>

* Apply suggestions from code review

* prettier

Co-authored-by: Dominik Dorfmeister <office@dorfmeister.cc>",15,38,1
"TanStack/query","9fc79d6b6c9fb6300c37277cd6a47988a2a1374b","tannerlinsley","2022-10-29 08:07:50","false","release: v4.13.4",17,38,1
"TanStack/query","8e7194ce68cd615d0d13bf14199de046cb5e378a","tannerlinsley","2020-08-24 20:37:20","false","docs: update comparison",11,11,0
"TanStack/query","bfae71ca7ac3c681baba36799c19b160bf27299f","tannerlinsley","2022-07-18 20:27:05","false","examples: add devtools dep",22,34,1
"TanStack/query","794e8be3bb59963b57330220b1a9a75005c85945","meesvandongen","2020-05-13 13:39:04","true","chore: replace swapi.co with swapi.org (#487)

Co-authored-by: Mees van Dongen <mvandongen@ilionx.com>",11,8,0
"TanStack/query","3b181101e77c6e0dfd01eca4b0e12a2c6633b076","boschni","2020-09-12 15:10:29","true","test: add previous data test (#1003)",10,12,0
"TanStack/query","85907ec808d21486a5ad3815eb424dbd18d2665d","cherniavskii","2020-02-29 15:13:51","true","add test for usePaginatedQuery state (#174)",1,6,0
"TanStack/query","69a5d798fed3beb69f015c131b05074050677223","henribru","2021-10-30 19:30:12","true","docs: Fix typo in query cancellation docs (#2863)",21,26,0
"TanStack/query","3ed888f7f3d741e4e2d6a5a250bcbf4b6ba4b1ff","eblin","2020-03-10 01:41:31","true","fix: getQueryArgs object syntax queryKey bug (#219)

fixes bug where passing queryKey falsy values would use whole object as the queryKey

it also adds a check for required queryKey, queryFn keys as only config and variables keys get a default value.",1,6,0
"TanStack/query","02b991cbbff850b2e52a1988ea08323e061f4e52","dumb-programmer","2023-10-18 14:24:14","true","docs: Update updates-from-mutation-responses.md (#6173)

Remove extra word ""via"" from the sentence.",7,49,1
"TanStack/query","10629eb5e954c29dad1e3f7a058de8ef1923d487","CalebLovell","2021-02-11 13:00:37","true","docs: add data structure note and another example (#1748)",18,17,0
"TanStack/query","9495006ed74189f2023b74f7da6ab6079dfd41c0","TkDodo","2022-10-29 08:04:03","true","fix(queryObserver): always structurally share placeholderData (#4402)",18,38,1
"TanStack/query","7e38bd2e7a69ca415ea5bace47c4adae35298246","gargroh","2020-05-05 17:02:56","true","Semantic release support (#403)

* chore: Using semantic release for publishing and changelog generation

* sync master (#1)

sync master (#1)

* Semantic release support (#2)

chore: Using semantic release for publishing and changelog generation

* chore: Correcting action indentation

* build: test semantic release of react-query

* feat: A new feature

* fix: yarn install (#3)

* feat: renaming module for test

* feat: change pkg name

* chore: adding yarn install

* doc: revert vscode settings

* Update package.json",10,8,0
"TanStack/query","f7a9ea8caf5c0780cd52a835efc3b3b503d0c5e6","tannerlinsley","2019-11-04 21:42:22","false","Update README.md",0,2,0
"TanStack/query","9ed2ee2474c2aa57fcbffc82f05235afb6588699","Mini-ghost","2023-10-08 22:28:21","true","fix(vue-query): solve type error about `useQuery` (#6092)

Co-authored-by: Dominik Dorfmeister <office@dorfmeister.cc>",10,49,1
"TanStack/query","9b21609350d9ad41faf5c2fb0ac6c67e4324a637","tannerlinsley","2022-12-03 13:53:23","false","release: v4.19.1",17,39,1
"TanStack/query","29c9b18832bd6b65ecbfd638cb6e8117657bed24","Mini-ghost","2023-09-07 08:14:18","true","refactor(vue-query): reduce code duplication (#5908)

Co-authored-by: Lachlan Collins <1667261+lachlancollins@users.noreply.github.com>",15,48,1
"TanStack/query","c227b2c3e90ee5774e39e702a0b882e89ca1ab43","TuckerWhitehouse","2020-07-17 01:58:31","false","feat(queryCache): pass query to subscribers (#765)

Any cache update triggered by a query will pass the query as the second argument to subscribers.
This enables executing side-effects for specific query updates.",8,10,0
"TanStack/query","466321b9f0adfe0c7120d79bda434059df190fe9","tannerlinsley","2023-09-25 06:29:10","false","release: v5.0.0-beta.37",9,48,1
"TanStack/query","5663e67b8d452a0e4a883ce42f382c8936115857","tannerlinsley","2020-03-09 19:32:07","false","v1.0.23",1,6,0
