"name_with_owner","sha","author","date","verified","message","num_issues","commit_month","has_ci","is_core"
"jens-maus/RaspberryMatic","cd0ae40953aecab0c17087f73d1ebce9b1186927","jens-maus","2018-07-04 10:55:30","true","more defconfig synchronizations.",38,24,0,1
"jens-maus/RaspberryMatic","d9367319b83285da0b40ac29418f6dde8bdb52dd","jens-maus","2019-11-14 10:48:37","true","added missing iwlwifi and ibt firmware packages to get the onboard WiFi
and bluetooth working with intel NUC machines.",54,41,0,1
"jens-maus/RaspberryMatic","a592eb9ddfa3c5490bba86ce574f0b182371d400","jens-maus","2021-01-28 10:54:45","true","if user exists skip useradd&co",34,55,1,1
"jens-maus/RaspberryMatic","0d68a74bee1f6af46eea2363e1cb67a3257e3d9d","jens-maus","2022-03-30 17:27:52","true","added new 0168-WebUI-Fix-HmipChannelDialogsInclude WebUI bugfix patch
which adds a missing source include statement which fixes a WebUI crash
bug in the new BOILER_TRANSMITTER functionality of 3.63.8.",25,69,1,1
"jens-maus/RaspberryMatic","4d663ba47e2eb59862f575b83c7e5d8855b29850","jens-maus","2021-02-19 23:28:03","true","Update config.yml",33,56,1,1
"jens-maus/RaspberryMatic","a89f712c7b97a19d680badc496df179f44ce7ae9","jens-maus","2016-12-03 09:06:52","false","added ""logo.nologo"" to cmdline.txt to disable the kernels' own raspberry logo.",5,5,0,1
"jens-maus/RaspberryMatic","9452c0d15737420f575a28d9cf8c20b18641ee08","jens-maus","2019-04-30 13:48:12","true","renamed vcgenCheck to voltageCheck and modified it to only check for an
under-voltage situation and only signal an alarm in case of an
identified under-voltage.",52,34,0,1
"jens-maus/RaspberryMatic","57b7795c990459d3ed71b9eab8c6a2769bc28cf3","jens-maus","2018-04-16 20:28:15","true","Merge branch 'master' of https://github.com/jens-maus/RaspberryMatic",37,22,0,1
"jens-maus/RaspberryMatic","0d34b123a258d695170cff3fb9dce7a11dc1cf46","jens-maus","2021-01-09 23:31:01","true","added first pr-checks.yml to let some basic pr workflow checks perform.",38,54,1,1
"jens-maus/RaspberryMatic","b2da50ae7e67424f2f3f7bd9a674761e67415230","jens-maus","2019-09-13 12:16:03","true","added 2019.05.2 update info",72,39,0,1
"jens-maus/RaspberryMatic","d5044bef3307bc61166377c162569de1a61cf332","jens-maus","2020-02-25 13:47:17","true","added a dedicated ""free disk space"" step to solve issues with our
runners occupying all free disk space ending up in ""no space left
warnings"" and reenabled all platform builds again.",57,44,1,1
"jens-maus/RaspberryMatic","df44013f59ceae11142a58305542e2e04aae6429","jens-maus","2019-03-05 10:32:52","true","remove unnecessary modification of extracting a firmware update archive
with/without file modification dates included.",61,32,0,1
"jens-maus/RaspberryMatic","646ff79e1f777bb5a68dc1b47136461ffc6194dd","jens-maus","2020-10-02 07:44:48","true","Merge branch 'master' into multilib",70,51,1,1
"jens-maus/RaspberryMatic","2eeebfde0b026951c400e7ca71a019d57dea10ed","jens-maus","2018-09-25 07:19:05","true","Update README.md",56,27,0,1
"jens-maus/RaspberryMatic","2f8233c492ad520372a683d65aebebf18ba33c0c","jens-maus","2022-01-26 08:37:06","true","integrated changed in tclrpc to be compatible to TCL 8.6",61,67,1,1
"jens-maus/RaspberryMatic","53370d1710f1327eaf6756051c43bf46064392cf","jens-maus","2019-03-01 21:35:43","true","added /media/usb1 to monit monitoring if /var/status/hasUSB exists.",61,32,0,1
"jens-maus/RaspberryMatic","ce1a6eb2ddaed619e0a21455bb02615b6d574ab7","jp112sdl","2021-09-06 12:25:02","true","add 0134-WebUI-Add-ShowInternalSysvars patch (#1400)

* add 0134-WebUI-Add-ShowInternalSysvars patch

* modified button translations to better fit existing naming scheme.

* integrated a slight style change to make the action column more compact.

* we use a light gray background to distinguish internal from non-internal
system variables.

* disable Edit button for internal+unerasable sysvars.

* we check for ID_GW_SYSSERVICE and ID_GW_SYSALARM for disabling the edit
button rather than internal&&unerasable

Co-authored-by: Jens Maus <mail@jens-maus.de>",36,62,1,0
"jens-maus/RaspberryMatic","d87237dc7438faaf5ec6ffc3ff22405f7df1e154","jens-maus","2021-10-25 09:13:45","true","added more style glitch fixes to 0039-WebUI-Fix-Style-Glitches and
adapted all other dependent webui patches accordingly.",45,64,1,1
"jens-maus/RaspberryMatic","0465d378abffbd1535f46858e4ac8f996c6a847a","jens-maus","2018-03-13 11:06:09","true","hw_intf.conf is not required for the u-boot version we use with the tinkerboard.",38,21,0,1
"jens-maus/RaspberryMatic","5773fc2f27ea8c76dddc048ef52bfe5e1b2fc594","jens-maus","2019-11-17 21:39:11","true","enhanced fwinstall.sh to also update the GRUB bootloader for the new x86
targets.",56,41,0,1
"jens-maus/RaspberryMatic","69fa545897e12ccd74da8cab284111abc0a5846c","jens-maus","2021-10-26 14:23:25","true","updated upstream linux kernel to 5.10.75.",45,64,1,1
