"name_with_owner","sha","author","date","verified","message","num_issues","commit_month","has_ci","is_core"
"rotki/rotki","9e79f3250cd870fd10ad9fda38c7a86345df3a53","kelsos","2020-05-22 14:51:51","false","Addresses PR review comments",129,27,1,1
"rotki/rotki","3a101be3428a6f7f58d808f087ab8fb8f110bac0","kascheri12","2018-09-13 06:28:59","true","Remove deprecated/unused code.",35,6,0,0
"rotki/rotki","4daec1c165c3c5fd9bc256d2fd61d2473647be3a","LefterisJP","2020-03-11 00:46:48","false","Adjust tests for changes introduced by webargs v6.0.0",84,24,0,1
"rotki/rotki","a15f8708d291b9fb110e088ec30b5eab4b1a04da","yabirgb","2021-07-14 10:35:48","true","Add cozy logo and fix bad mapping",228,40,1,1
"rotki/rotki","f5f7a514455883ff4ef4e6d904284eec85a23951","LefterisJP","2020-08-07 22:26:49","true","Fix tests",166,29,1,1
"rotki/rotki","ddcf69199255892b4b0d7985dedf34d5b9e15bd9","LefterisJP","2021-08-05 18:22:28","true","Merge pull request #3295 from LefterisJP/balancer_fixes

Some balancer related decimal fixes",227,41,1,1
"rotki/rotki","cb91a2472df9ed66340f144c19e04e3e09ea0b21","LefterisJP","2019-11-29 07:24:05","false","Add support for HDAC

Since it got listed in Bittrex support HDAC token:
https://coinmarketcap.com/currencies/hdac/",58,21,0,1
"rotki/rotki","125a16e4367c744736d15d0154cbfdc07e387c8b","LefterisJP","2020-10-03 22:41:04","true","Add log level name to the logs",197,31,1,1
"rotki/rotki","261e6bce901ca8b2e2cef6dc9a86fa5a4f4ee5a8","kelsos","2021-12-13 12:35:58","true","Enable HMR for pinia",192,45,1,1
"rotki/rotki","62540a0e094b4bf9f5be87876b84dae99dc31300","yabirgb","2022-12-09 18:48:34","false","Prevent error in migration 6 when syncing remote db",90,57,1,1
"rotki/rotki","0ec10067057b1e64cc9df619a9d285c2aa543e3a","kelsos","2021-10-13 09:35:31","true","Updates changelog",223,43,1,1
"rotki/rotki","44334f350cdc5f5034e60d7dd2e268f23f24abdc","yabirgb","2021-10-13 14:18:26","false","Assets for 1.21.2",222,43,1,1
"rotki/rotki","521a0730a813e0e572fcff1f16eb42b4a4bbcf56","kelsos","2020-12-17 18:33:14","true","Small docker fixes",240,33,1,1
"rotki/rotki","8651ae585ed5244196a3fd2bf6a5005db80e1acf","LefterisJP","2018-06-29 21:57:07","true","Some readme changes",28,4,0,1
"rotki/rotki","d56bb0dcc6db8d44ebcae2ba14f9be30a3065ddf","LefterisJP","2020-07-06 16:17:21","false","Add a simple API test for querying DeFi balances",141,28,1,1
"rotki/rotki","ae747fbdd7c1e32a5ee240dee96b42d7e3c99a5f","tewshi","2023-04-27 09:44:45","true","feat: use pagination filters composable for nfts balances table (#5939)",53,62,1,0
"rotki/rotki","11c2a9839a108425c929d85bf9c76553af34761d","yabirgb","2021-12-26 17:58:07","false","Fix typos from other PR",179,46,1,1
"rotki/rotki","2d44e29d873c29573fcc52fb3cf430e6b2f52790","LefterisJP","2022-12-15 09:48:19","false","Split api/test_blockchain.py",93,57,1,1
"rotki/rotki","018408313d4a91629deb3518cf3e2aaac1d576e9","LefterisJP","2020-01-31 13:24:11","false","Update installation guide for v1.1.0

Fix #565",67,23,0,1
"rotki/rotki","61d4509b4064aa4c5c9c20d56c1208af825ad47e","LefterisJP","2018-12-30 12:17:02","true","Add mypy types in utils.py",33,10,0,1
"rotki/rotki","5dd70b3fa60025d6a34e64de72d84d4eb7aa651f","kelsos","2021-09-09 10:40:36","true","Updates prettier and applies fixes",242,42,1,1
"rotki/rotki","2eac3aee0f37b2b24442cd2ff2e6db779979997d","LefterisJP","2018-03-28 23:11:07","true","Move db creation scripts to dbutils",4,1,0,1
"rotki/rotki","0e8157a3600094c6f545be7f73fa13f8441920ab","LefterisJP","2021-02-21 17:09:09","true","Upgrade pylint to 2.7 and astroid to 2.5",226,35,1,1
"rotki/rotki","e1f7dc483d7d26a78c5943c9a273de3a54469f32","LefterisJP","2020-02-05 10:04:40","true","Update bumpversion config for the new electron package",69,23,0,1
"rotki/rotki","f7643a155abe832c4bbaff32b3b9e0c5cd56039f","lukicenturi","2023-01-11 16:28:04","false","feat: remove liquity event trove usages",88,58,1,1
"rotki/rotki","f0a7a8973e4a7933e37fc4b3a509f132f1bdcff4","kelsos","2020-12-30 11:04:00","true","Updates how exchange balances retrieves icons.",239,34,1,1
"rotki/rotki","2530fd5fb89cb6a45219d9e7c12e47f45764a7a5","LefterisJP","2020-08-17 12:50:56","true","Remove BitFlux - FLX

It's neither in cryptocompare nor in coingecko",164,29,1,1
"rotki/rotki","bdb2736cf499b83d1b3225e08da548537870daee","LefterisJP","2020-08-07 16:13:49","true","Add changelog entry for 820",166,29,1,1
"rotki/rotki","f7022cb1400277ab389a0c2d4e77f74dde8c76db","LefterisJP","2021-02-03 22:15:16","true","Changelog entry for 2267",243,35,1,1
