"name_with_owner","sha","author","date","verified","message","num_issues","commit_month","has_ci"
"thesofproject/sof","6cda26cb2d2493f1ebc096f49fd7d77b73c0839b","btian1","2023-08-03 02:41:07","false","copier-host: remove duplicated frame format assignment

since there is only one dev, there is no need to do
duplicated frame format assignment.

Signed-off-by: Baofeng Tian <baofeng.tian@intel.com>",29,62,1
"thesofproject/sof","07805bfb091a2eb55759d1f863f46796ffe22973","btian1","2023-05-09 01:46:54","false","ipcgtw: split the ipcgtw_free function

Split the ipcgtw_free() function to add a helper function,
ipcgtw_zephyr_free() in preparation for this to be called
from both a ipcgtw device and copier device.

Signed-off-by: Baofeng Tian <baofeng.tian@intel.com>",53,59,1
"thesofproject/sof","5397ea80159b8d2c9ee07554d411760fd7b23dd7","btian1","2023-08-21 05:21:15","false","audio: remove config: CONFIG_COMP_LEGACY_INTERFACE

This config is used for old intel cavs 1.x platform, now, those
platform are removed from sof, this config also need remove,
related code got removed as well.

Signed-off-by: Baofeng Tian <baofeng.tian@intel.com>",24,63,1
"thesofproject/sof","3658341a3f963107f254d8264b7e250b8b64af9d","plbossart","2021-01-28 16:26:38","false","topology: sof-cml/icl-rt700: align DMIC support with HDaudio

Somehow we use different configurations for the DMIC, remove
everything in this file and rely on the same macros.

The only difference with HDaudio is the pipeline and PCM device
numbers.

the old topology names sof-icl-rt700 and sof-cml-rt700 alias to the
same 4ch topology, when the kernel looks for the 2ch or 4ch versions
we can remove it. Make then break.

Signed-off-by: Pierre-Louis Bossart <pierre-louis.bossart@linux.intel.com>",67,32,0
"thesofproject/sof","630e988a975025c3f36acc2da5b1266bbf5b2a8e","lrgirdwo","2018-09-28 15:18:13","false","sue: scripts: Add sue creek support into buildall

Signed-off-by: Liam Girdwood <liam.r.girdwood@linux.intel.com>",37,4,0
"thesofproject/sof","151c338e2f08361e71bcaaba019008759eeeaffb","plbossart","2019-01-16 05:08:04","false","src/drivers/intel/cavs/sue-ipc.c: fix style

Make checkpatch happy

Signed-off-by: Pierre-Louis Bossart <pierre-louis.bossart@linux.intel.com>",55,7,0
"thesofproject/sof","85896a4c585ae8330acdc267e2a5c3792245b47f","plbossart","2020-02-20 21:26:26","false","kpb: remove useless assignments

Fix cppcheck warnings

[src/audio/kpb.c:202]: (style) Variable 'temp_ca_size' is assigned a
value that is never used.

[src/audio/kpb.c:742]: (style) Variable 'current_time' is assigned a
value that is never used.

[src/audio/kpb.c:946]: (style) Variable 'local_buffered' is assigned a
value that is never used.

[src/audio/kpb.c:948]: (style) Variable 'drain_interval' is assigned a
value that is never used.

[src/audio/kpb.c:954]: (style) Variable 'period_bytes_limit' is
assigned a value that is never used.

[src/audio/kpb.c:984]: (style) Variable 'local_buffered' is assigned a
value that is never used.

Signed-off-by: Pierre-Louis Bossart <pierre-louis.bossart@linux.intel.com>",80,21,0
"thesofproject/sof","b9faef1cb63b120bef0e926b4752f8b1a275a071","lrgirdwo","2021-01-27 10:30:33","false","drivers: idc: let users know core boot failure reason.

Trace the result of any secondary core boot failures.

Signed-off-by: Liam Girdwood <liam.r.girdwood@linux.intel.com>",68,32,0
"thesofproject/sof","9f4af6b0134c0a1e65060496d43e742124df061a","plbossart","2021-08-10 20:22:40","false","topology1: soundwire: fix misleading comment on ALH buffer format

All platforms use s24le for ALH, fix misleading comment.

Signed-off-by: Pierre-Louis Bossart <pierre-louis.bossart@linux.intel.com>",117,38,0
"thesofproject/sof","cdd64aa9f64e55a340598a504dbffdd20c511df1","dbaluta","2021-05-04 08:29:07","false","codec_adapter: Remove processing loop

Calling codec_process() multiple times in a loop limits the minimum
pipeline period we can choose.

For example with AAC one codec_process() can take up to 0.7ms which
means that we cannot reliable set pipeline period to 1ms on i.MX where
DSP has only 1 core.

In order to avoid this and to simplify the code remove the processing
loop hence each codec_adapter_copy() call will call exactly once the
codec_process() function.

Signed-off-by: Daniel Baluta <daniel.baluta@nxp.com>",81,35,0
