"name_with_owner","sha","author","date","verified","message","num_issues","commit_month","has_ci","is_core"
"arendst/Tasmota","f08ce9aa5b7ef430f25e3d914bfeb25e1e19a1c8","arendst","2020-04-22 13:01:35","true","Merge pull request #8221 from Theosakamg/clean_code

Format code with cpplint",34,39,0,1
"arendst/Tasmota","51af8611bbc461de5af5f4ff879b128602b7d4c6","arendst","2022-05-20 10:10:46","false","Fix max 32-bit bitRead/bitSet size issue",12,64,1,1
"arendst/Tasmota","ac1a18bf42e239efcc68535f4c52c40a748d139a","ayavilevich","2020-09-20 21:18:00","false","implement state for ACs with toggle properties",42,44,0,0
"arendst/Tasmota","1f229e753482a34c6eb1bbab2c15c148e6184350","s-hadinger","2021-11-10 18:31:22","true","Support for ZIP fs and download (#13632)

* Support for ZIP fs and download

* Fix",2,57,1,0
"arendst/Tasmota","1c14015f63fd194c681e450e92c84a80d4f9b442","arendst","2018-08-25 10:26:36","false","Update feature list

Update feature list",103,19,0,1
"arendst/Tasmota","0ce12f3fa2e08351ef0a99c723a204ba9bc7c244","tiagofreire-pt","2020-03-15 12:01:57","true","Update uk-UA.h",18,38,0,0
"arendst/Tasmota","a503804d037f6305e33c5fd7ea41aa9f80e5cd70","ascillato","2018-05-14 23:19:26","true","Update Spanish Translation

Update Spanish Translation",860,16,0,1
"arendst/Tasmota","8a67477cab1ea54c4dadf4b0f38942d8e87cdc2f","malbinola","2020-06-06 07:25:00","false","Make ISR variables volatile",37,40,0,0
"arendst/Tasmota","08033444c5ac1bd8624f91e41cfbffbc140f7d06","arendst","2021-01-12 14:03:06","false","Fix filetime",23,47,0,1
"arendst/Tasmota","4700e49d705cdd29da6a05cadfe0fa9ca0fa9f8b","arendst","2018-11-24 16:16:27","true","Update sonoff.ino",26,22,0,1
"arendst/Tasmota","26b9dfa2f9c1db42790d78a233725b63327769f9","Jason2866","2021-08-08 16:43:18","true","oops",15,54,0,1
"arendst/Tasmota","f0bd418129109baf5bc305bac6b194183de39c7c","arendst","2023-01-24 09:19:46","false","Dark logo",12,72,1,1
"arendst/Tasmota","06841bbdff971530698cd8971d1430b367aae094","Jason2866","2020-04-24 09:27:30","true","Use RC candidate of core v.2.7",34,39,0,1
"arendst/Tasmota","93b36d5c469c2fb0a0d8269d21c0a1b614b3d5f7","s-hadinger","2020-07-21 17:16:38","false","Change ``Ping`` now reports the hostname instead of IP address (#8948)",51,42,0,0
"arendst/Tasmota","e3f2d040a6f481c4f4e437e4a3062d041e2ad139","hpagonis","2022-04-11 12:34:06","true","Merge branch 'arendst:development' into max7219-daisy-chain",5,62,1,0
"arendst/Tasmota","8807940a2b7a74caf3ec8ecebba247a53ca270aa","ascillato","2018-04-19 01:29:12","true","Add files via upload",1178,15,0,1
"arendst/Tasmota","533f3142776e40dff6d7e3db8207e2eb783b21bd","stefanbode","2020-07-01 16:45:36","true","Update Arduino.h",34,41,0,1
"arendst/Tasmota","d9b2d0301733ffc61f0344c97d01498d2eaea169","arendst","2020-03-14 16:58:06","false","Merge branch 'development' into release",18,38,0,1
"arendst/Tasmota","ebb4c18aae9ad0f21622bdfec1f41c64a42fc10e","s-hadinger","2020-11-21 09:31:27","false","Zigbee persistence of device/sensir data in EEPROM (only ZBBridge)",53,46,0,0
"arendst/Tasmota","0a9166dde7b099198c643e1adaf490075d2a9351","hwstar","2019-09-07 21:28:08","false","Update files",27,31,0,0
"arendst/Tasmota","44cf79777848e42ce5b52a92d108cb7a710fe043","Jason2866","2020-02-29 13:36:07","true","Delete platform.txt",22,37,0,1
"arendst/Tasmota","5eb09495c2aee380adb3f017fc6006a3229d85d0","effelle","2019-09-07 14:24:57","true","Update it-IT.h",25,31,0,0
"arendst/Tasmota","6b0fbf07989c8a4454e795bdc101ba64322fe010","s-hadinger","2022-06-15 20:23:22","false","Berry fix typo",12,65,1,0
"arendst/Tasmota","11a43ea99b19ef682f02b725c78d5a9557f26055","Jason2866","2023-04-20 18:01:35","true","Tasmota Core 208 (#18460)

* Tasmota Core 2.0.8
* Fix Linker errors",8,75,1,1
"arendst/Tasmota","ce388c799f52ceb92c6a4d3404202ebfa850552a","arendst","2020-08-04 14:33:05","false","Add ESP32 Analog input support for GPIO32 to GPIO39",43,42,0,1
