"name_with_owner","sha","author","date","verified","message","num_issues","commit_month","has_ci","is_core"
"jupyterhub/zero-to-jupyterhub-k8s","b39fcf2147123ebffa84f988edd011d94d86a437","willingc","2018-05-01 20:41:03","true","Merge pull request #669 from choldgraf/docs

miscellaneous doc improvements",135,13,0,0
"jupyterhub/zero-to-jupyterhub-k8s","f7865e65f998e96560ef30eaf632840dd80c6924","hiroki-sawano","2021-07-25 08:41:14","false","docs: Set version to v0.6",15,51,0,0
"jupyterhub/zero-to-jupyterhub-k8s","c9c18124231162ff96c5777251d99bbf00d027df","jupyterhub-bot","2023-03-22 05:10:03","false","Update library/traefik version from v2.9.8 to v2.9.9",3,71,1,0
"jupyterhub/zero-to-jupyterhub-k8s","13e6b72cae7e29f95eeccb5cf7456742b37074fd","yuvipanda","2017-12-05 07:01:26","false","Fix-up contributors list

Also add OAuthenticator contributors",83,8,0,1
"jupyterhub/zero-to-jupyterhub-k8s","d2245237ab1a9a5e09f44f25607c220e26669861","choldgraf","2018-03-02 17:01:37","true","Merge pull request #554 from willingc/willingc-patch-1

update local install instructions for minikube",113,11,0,1
"jupyterhub/zero-to-jupyterhub-k8s","4357973743486487f2c96a6610cde327eef0e796","LucidNeko","2019-07-25 02:47:18","true","Make proxy redirect to 443 instead of 8443

configurable-http-proxy redirects to '--port' which in this case is 8443 and unresolvable outside of the cluster.",240,27,0,0
"jupyterhub/zero-to-jupyterhub-k8s","62b7e49581b8c4ec9a45975b2feeeafe9c33bfda","consideRatio","2018-04-18 20:49:47","true","kube-lego label details clarified",141,12,0,1
"jupyterhub/zero-to-jupyterhub-k8s","90c637193dc850b5e4b25ef30108d410686126c1","minrk","2018-07-03 14:14:35","false","bump kubespawner

4d0221e...f422420

- deprecation fixes
- callable profiles
- hostname support
- remove no-api-access-please",140,15,0,1
"jupyterhub/zero-to-jupyterhub-k8s","5755d8b7686b029c991df41b18aa9ffcd1d281cd","consideRatio","2018-10-16 15:46:33","true","Merge pull request #980 from jupyterhub/choldgraf-patch-1

Adding users-list link",129,18,0,1
"jupyterhub/zero-to-jupyterhub-k8s","5cd0581d690d270d620991136afdaa106fa7f538","choldgraf","2017-04-12 03:25:20","false","Merge pull request #14 from choldgraf/remove_gconsole

removing google console refs and cleaning up instructions",4,0,0,1
